filename,label,augmented
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_3885.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_22181.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_17700.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_28123.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_26318.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_24191.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_32297.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_35552.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_1519.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_21502.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_20444.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_3554.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_33746.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_18585.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_21152.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_6502.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_6970.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_21342.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_15513.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_28616.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_36044.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_12331.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_22381.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_16447.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_17130.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_9578.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_4675.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_12345.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_25507.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_16699.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_16638.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_28137.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_3080.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_20173.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_20311.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_20731.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_24792.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_9426.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_28455.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_16319.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_10020.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_25523.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_12442.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_25586.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_2060.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_35459.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_1974.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_8346.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_21189.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_11494.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_35893.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_16430.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_32381.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_18067.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_27674.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_23072.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_30096.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_14971.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_15088.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_18531.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_20368.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_14150.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_4839.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_8429.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_11550.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_2829.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_22098.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_451.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_3569.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_5319.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_23744.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_30512.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_17153.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_36523.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_21046.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_9208.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_11096.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_31137.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_31938.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_31418.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_21702.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_31242.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_35906.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_34035.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_7877.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_16796.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_13311.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_882.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_1681.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_17104.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_15255.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_140.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_33814.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_32393.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_37642.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_17399.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_20153.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_1627.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_9607.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_5112.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_11470.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_16187.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_33143.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_5453.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_18110.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_7634.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_11711.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_19784.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_3731.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_396.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_28737.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_8239.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_12008.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_20335.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_30339.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_15628.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_28851.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_32540.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_26585.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_24069.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_36901.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_4218.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_3697.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_1767.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_7527.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_11571.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_27493.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_34705.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_12108.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_24448.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_21994.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_29459.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_35275.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_14406.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_19301.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_22727.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_22915.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_6239.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_26369.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_6064.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_36077.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_30175.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_2285.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_2698.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_16313.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_27912.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_14505.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_11736.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_19069.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_37645.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_16654.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_8631.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_26001.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_13399.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_22436.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_714.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_18720.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_823.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_18826.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_8115.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_5505.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_3274.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_21233.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_21190.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_15499.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_35480.jpg,Normal clean mucosa,False
/kaggle/input/datasets/adityayellamilli/the-kvasircapsule-dataset-images/The Kvasir-Capsule/train/Image_3742.jpg,Normal clean mucosa,False
